"","Subject","Block","Trial","Gender","Age","Handedness","First_Language","Matching","Origin_Identity","Phase","Shape","Label","WeShape","SelfShape","TheyShape","AloneShape","ShapeLoc","Response","RT_sec","ACC","RT_ms","English_Identity","Standarlized_Identity"
"104",1,1,84,"Male",26,"r","Hungarian","Match","They","EXPERIMENT","They","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",0.800168499,1,800.168499,"They","Group-Stranger"
"105",1,1,85,"Male",26,"r","Hungarian","Match","Self","EXPERIMENT","Self","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",0.733489172,1,733.489172,"Self","Self"
"106",1,1,86,"Male",26,"r","Hungarian","Match","You","EXPERIMENT","You","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",0.866829664,1,866.829664,"You","Stranger"
"107",1,1,87,"Male",26,"r","Hungarian","Match","They","EXPERIMENT","They","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",0.766866736,1,766.866736,"They","Group-Stranger"
"108",1,1,88,"Male",26,"r","Hungarian","Mismatch","Self","EXPERIMENT","They","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",1.083475098,1,1083.475098,"Self","Self"
"109",1,1,89,"Male",26,"r","Hungarian","Match","They","EXPERIMENT","They","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",0.75015624,1,750.15624,"They","Group-Stranger"
"110",1,1,90,"Male",26,"r","Hungarian","Match","They","EXPERIMENT","They","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",0.533549892,1,533.549892,"They","Group-Stranger"
"111",1,1,91,"Male",26,"r","Hungarian","Mismatch","You","EXPERIMENT","Self","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",1.016830513,1,1016.830513,"You","Stranger"
"112",1,1,92,"Male",26,"r","Hungarian","Match","We","EXPERIMENT","We","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",0.700160563,1,700.160563,"We","Group-Self"
"113",1,1,93,"Male",26,"r","Hungarian","Match","You","EXPERIMENT","You","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",0.850147989,1,850.147989,"You","Stranger"
"114",1,1,94,"Male",26,"r","Hungarian","Mismatch","We","EXPERIMENT","They","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",0.950161057,1,950.161057,"We","Group-Self"
"115",1,1,95,"Male",26,"r","Hungarian","Match","Self","EXPERIMENT","Self","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",0.833500661,1,833.500661,"Self","Self"
"116",1,1,96,"Male",26,"r","Hungarian","Match","Self","EXPERIMENT","Self","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",0.716831184,1,716.831184,"Self","Self"
"117",1,2,1,"Male",26,"r","Hungarian","Mismatch","They","EXPERIMENT","We","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",1.066833691,1,1066.833691,"They","Group-Stranger"
"118",1,2,2,"Male",26,"r","Hungarian","Mismatch","You","EXPERIMENT","We","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",0.950176059,1,950.176059,"You","Stranger"
"119",1,2,3,"Male",26,"r","Hungarian","Mismatch","Self","EXPERIMENT","They","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",0.516841765,0,516.841765,"Self","Self"
"120",1,2,4,"Male",26,"r","Hungarian","Mismatch","We","EXPERIMENT","You","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",0.983496772,1,983.496772,"We","Group-Self"
"121",1,2,5,"Male",26,"r","Hungarian","Mismatch","We","EXPERIMENT","They","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",1.20013273,1,1200.13273,"We","Group-Self"
"122",1,2,6,"Male",26,"r","Hungarian","Mismatch","You","EXPERIMENT","Self","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",1.400185317,1,1400.185317,"You","Stranger"
"123",1,2,7,"Male",26,"r","Hungarian","Mismatch","They","EXPERIMENT","Self","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",0.750198878,1,750.198878,"They","Group-Stranger"
"124",1,2,8,"Male",26,"r","Hungarian","Match","They","EXPERIMENT","They","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",0.783526697,1,783.526697,"They","Group-Stranger"
"125",1,2,9,"Male",26,"r","Hungarian","Match","You","EXPERIMENT","You","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",0.866798081,1,866.798081,"You","Stranger"
"126",1,2,10,"Male",26,"r","Hungarian","Match","Self","EXPERIMENT","Self","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",0.750159793,1,750.159793,"Self","Self"
"127",1,2,11,"Male",26,"r","Hungarian","Mismatch","They","EXPERIMENT","We","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",1.05017373,1,1050.17373,"They","Group-Stranger"
"128",1,2,12,"Male",26,"r","Hungarian","Match","We","EXPERIMENT","We","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",0.750177954,1,750.177954,"We","Group-Self"
"129",1,2,13,"Male",26,"r","Hungarian","Match","They","EXPERIMENT","They","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",0.833500266,1,833.500266,"They","Group-Stranger"
"130",1,2,14,"Male",26,"r","Hungarian","Match","We","EXPERIMENT","We","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",0.733494699,1,733.494699,"We","Group-Self"
"131",1,2,15,"Male",26,"r","Hungarian","Mismatch","You","EXPERIMENT","They","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",0.750191772,1,750.191772,"You","Stranger"
"132",1,2,16,"Male",26,"r","Hungarian","Mismatch","We","EXPERIMENT","Self","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",1.016801693,1,1016.801693,"We","Group-Self"
"133",1,2,17,"Male",26,"r","Hungarian","Match","They","EXPERIMENT","They","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",0.900178408,1,900.178408,"They","Group-Stranger"
"134",1,2,18,"Male",26,"r","Hungarian","Mismatch","Self","EXPERIMENT","We","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",1.233478315,1,1233.478315,"Self","Self"
"135",1,2,19,"Male",26,"r","Hungarian","Match","We","EXPERIMENT","We","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",0.800162971,1,800.162971,"We","Group-Self"
