VP,age,sex,exp,Studie,SPErt1,SPErt2,SPErt,SPEd,SPEd1,SPEd2,ime1,ine1,mme1,mne1,bme1,bne1,ime2,ine2,mme2,mne2,bme2,bne2,RTim1,RTin1,RTmm1,RTmn1,RTbm1,RTbn1,RTim2,RTin2,RTmm2,RTmn2,RTbm2,RTbn2,SPEreduction,RTin,RTbn,RTmn,ine,bne,mne
34,19,0,0,2,114.175204052913,60.2128342245989,87.1940191387559,.455206994887182,.52759351584114,.382820473933223,3,5,5,8,6,7,4,4,3,6,8,7,624.227272727273,808.55,719.157894736842,802.882352941176,757.647058823529,856.777777777778,661.6,779.05,660.272727272727,776.444444444444,783.352941176471,838.823529411765,-53.9623698283141,793.8,847.800653594771,789.66339869281,4.5,7,7
35,21,0,1,2,29.7317460317461,-9.17222222222227,10.2797619047619,-.12961115029307,-.503032055008267,.243809754422127,9,10,4,9,7,6,5,5,7,6,6,6,576.466666666667,704.285714285714,569.952380952381,692.142857142857,642.444444444444,665.631578947368,613.2,653.352941176471,597.944444444444,623.941176470588,610.111111111111,604.875,-38.9039682539683,678.819327731092,635.253289473684,658.042016806723,7.5,6,7.5
36,24,0,0,2,61.4586538461539,56.885294117647,59.1719739819005,.189875882897628,.388444661228658,-.00869289543340246,6,4,9,8,12,2,6,7,11,7,5,4,544.45,631.85,574.125,752.333333333333,637.692307692308,661.772727272727,654.764705882353,727.684210526316,682,808.375,741.3,760,-4.57335972850683,679.767105263158,710.886363636364,780.354166666667,5.5,3,7.5
37,18,1,1,2,130.427058823529,128.982456140351,129.70475748194,.503996320464157,.0636706445480799,.944321996380235,1,4,3,0,7,3,0,4,5,2,4,5,549.72,682.2,615,733.833333333333,745.294117647059,680,586.208333333333,679.5,652.75,674.826086956522,777.631578947368,700.75,-1.44460268317852,680.85,690.375,704.329710144928,4,4,1
38,20,0,0,2,21.8952429149797,76.4994425863991,49.1973427506894,.819116867235168,.836768055231527,.80146567923881,1,5,5,5,11,4,1,4,4,4,12,3,639.625,694.736842105263,602.578947368421,682.631578947368,720.461538461538,663.315789473684,614.782608695652,685.647058823529,666.333333333333,675,716.230769230769,715,54.6041996714195,690.191950464396,689.157894736842,678.815789473684,4.5,3.5,4.5
39,20,0,1,2,134.943181818182,90.6907114624506,112.816946640316,.41864664648428,.814310966334991,.0229823266335689,0,2,1,3,3,3,1,4,1,2,5,2,494.083333333333,650,610.416666666667,670.863636363636,647.636363636364,625.272727272727,511.695652173913,659.3,573.772727272727,673.304347826087,631,667.333333333333,-44.2524703557312,654.65,646.30303030303,672.083992094862,3,2.5,2.5
40,27,1,0,2,128.522352941176,142.169711362806,135.346032151991,1.99246659957305,2.19566772270283,1.78926547644327,0,0,8,3,6,4,0,1,9,3,4,6,590.36,763.807692307692,708,771.190476190476,729.764705882353,732.636363636364,614.826086956522,761.714285714286,785.705882352941,744.772727272727,728.285714285714,780.166666666667,13.6473584216296,762.760989010989,756.401515151515,757.981601731602,.5,5,3
41,21,0,1,2,112.410434782609,59.751212121212,86.0808234519104,-.23210806989628,-.292892371593913,-.171323768198647,1,2,0,2,4,0,2,2,0,3,3,2,737.869565217391,895.521739130435,791.56,871.142857142857,909,855.64,713.833333333333,808.6,716.76,851.045454545455,830.409090909091,773.565217391304,-52.6592226613967,852.060869565217,814.602608695652,861.094155844156,2,1,2.5
42,19,0,1,2,51.8031400966184,59.9490196078431,55.8760798522308,.160640814426616,.247652733003421,.0736288958498119,2,7,7,3,5,6,5,6,9,5,5,5,591.391304347826,705.875,635.111111111111,677.8,651.277777777778,609.294117647059,570.7,657.944444444444,601.533333333333,724.444444444444,659.764705882353,677.473684210526,8.14587951122473,681.909722222222,643.383900928793,701.122222222222,6.5,5.5,4
43,22,0,1,2,17.2481884057971,-13.8958333333334,1.67617753623188,-.363285494248967,-.188763268095164,-.537807720402769,1,3,2,2,3,0,1,4,1,1,1,1,916.875,1069.65217391304,929.913043478261,1021.13636363636,938.333333333333,1007.64,882.916666666667,878,853.166666666667,1021.5,884.875,933.173913043478,-31.1440217391305,973.826086956522,970.406956521739,1021.31818181818,3.5,.5,1.5
