"","Subject","Block","Bin","Trial","Age","Gender","Handedness","Shape","Label","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Morality","Response","RT_ms","RT_sec","ACC"
"169",7302,2,3,1,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",473.1,0.4731,1
"170",7302,2,3,2,22,"female","R","moralOther","immoralOther","Nonmatching","Other","Other","Stranger","Good","m",381.2,0.3812,0
"171",7302,2,3,3,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",595.2,0.5952,1
"172",7302,2,3,4,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",807.4,0.8074,1
"173",7302,2,3,5,22,"female","R","immoralSelf","immoralOther","Nonmatching","Self","Self","Self","Bad","n",567.5,0.5675,1
"174",7302,2,3,6,22,"female","R","moralSelf","immoralSelf","Nonmatching","Self","Self","Self","Good","n",847.6,0.8476,1
"175",7302,2,3,7,22,"female","R","immoralOther","moralOther","Nonmatching","Other","Other","Stranger","Bad","n",727.8,0.7278,1
"176",7302,2,3,8,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","m",607.9,0.6079,1
"177",7302,2,3,9,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad",NA,1042,1.042,-1
"178",7302,2,3,10,22,"female","R","moralSelf","immoralOther","Nonmatching","Self","Self","Self","Good","n",690.1,0.6901,1
"179",7302,2,3,11,22,"female","R","immoralOther","moralSelf","Nonmatching","Other","Other","Stranger","Bad","n",986.2,0.9862,1
"180",7302,2,3,12,22,"female","R","moralOther","moralSelf","Nonmatching","Other","Other","Stranger","Good","n",792.4,0.7924,1
"181",7302,2,3,13,22,"female","R","immoralSelf","immoralOther","Nonmatching","Self","Self","Self","Bad","n",732.5,0.7325,1
"182",7302,2,3,14,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","n",572.7,0.5727,0
"183",7302,2,3,15,22,"female","R","moralOther","immoralSelf","Nonmatching","Other","Other","Stranger","Good","n",804.8,0.8048,1
"184",7302,2,3,16,22,"female","R","moralSelf","moralOther","Nonmatching","Self","Self","Self","Good","n",654.9,0.6549,1
"185",7302,2,3,17,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",663.1,0.6631,1
"186",7302,2,3,18,22,"female","R","immoralOther","immoralSelf","Nonmatching","Other","Other","Stranger","Bad",NA,1042,1.042,-1
"187",7302,2,3,19,22,"female","R","immoralSelf","immoralOther","Nonmatching","Self","Self","Self","Bad","n",767.2,0.7672,1
"188",7302,2,3,20,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",735.3,0.7353,1
"189",7302,2,3,21,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",551.5,0.5515,1
"190",7302,2,3,22,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","m",627.6,0.6276,1
"191",7302,2,3,23,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",527.7,0.5277,1
"192",7302,2,3,24,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",487.8,0.4878,1
"193",7302,2,4,1,22,"female","R","moralSelf","moralSelf","Matching","Self","Self","Self","Good","m",532.7,0.5327,1
"194",7302,2,4,2,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","m",684.8,0.6848,1
"195",7302,2,4,3,22,"female","R","moralOther","moralOther","Matching","Other","Other","Stranger","Good","m",454.9,0.4549,1
"196",7302,2,4,4,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",535,0.535,1
"197",7302,2,4,5,22,"female","R","moralOther","immoralOther","Nonmatching","Other","Other","Stranger","Good","n",583.1,0.5831,1
"198",7302,2,4,6,22,"female","R","moralSelf","immoralSelf","Nonmatching","Self","Self","Self","Good","n",797.3,0.7973,1
"199",7302,2,4,7,22,"female","R","immoralOther","immoralOther","Matching","Other","Other","Stranger","Bad","m",543.3,0.5433,1
"200",7302,2,4,8,22,"female","R","moralSelf","immoralOther","Nonmatching","Self","Self","Self","Good","n",597.4,0.5974,1
"201",7302,2,4,9,22,"female","R","immoralOther","moralSelf","Nonmatching","Other","Other","Stranger","Bad","n",679.6,0.6796,1
"202",7302,2,4,10,22,"female","R","moralSelf","immoralOther","Nonmatching","Self","Self","Self","Good","n",833.7,0.8337,1
"203",7302,2,4,11,22,"female","R","immoralSelf","moralSelf","Nonmatching","Self","Self","Self","Bad","m",589.8,0.5898,0
"204",7302,2,4,12,22,"female","R","moralOther","immoralOther","Nonmatching","Other","Other","Stranger","Good","n",625.9,0.6259,1
"205",7302,2,4,13,22,"female","R","immoralSelf","immoralSelf","Matching","Self","Self","Self","Bad","m",760,0.76,1
