age,handedness,participant_id,sex,block_order,shape,match,block,responseKey,respRt,respCorr
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,0.8028266,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.8006573,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,a,1.2313079,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,0.7982564,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,0.6407229,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.8217929,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,1.1054716,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,0.7444173,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,0.5812849,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,0.6495097,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,a,0.5803427,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.6166138,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,l,0.5587868,0
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.6813505,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,0.590033,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.595826,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.7999339,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,l,0.9138139,0
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,0.6287138,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,0.6964787,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.6210557,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.8066837,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,0.8468902,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.7756216,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,0.7905593,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,1.4041907,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,a,0.7274919,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,1.1323262,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,a,0.568577,0
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,0.7705219,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,l,1.3920372,0
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,a,0.9275911,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,a,0.720454,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,0.7508122,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,0.4789094,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,0.719402,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,a,0.7305114,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,0.8199154,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,1.1726388,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,l,0.8401487,0
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,a,0.4436845,0
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,a,0.6278947,0
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,0.899667,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,0.4650876,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,0.8103194,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,0.5474358,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.9287886,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,a,0.9438529,0
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,0.5841496,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.965164,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,0.6599866,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,a,0.6794666,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,l,0.5221675,0
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,0.6057465,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.8085331,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.9983876,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,1.1750829,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.8183447,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,0.9670967,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.9168989,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,l,0.7289984,0
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,a,0.7410352,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,a,0.9231927,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,a,0.5764689,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,0.8246459,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,a,0.6414133,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.7784708,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.934873,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,missed,1.500055,missed
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,a,0.5728287,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.6720683,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,0.7633869,1
22,right,1,f,selfSym_selfAsym,stranger-related,yes,selfA,l,0.9036749,0
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.5891012,1
22,right,1,f,selfSym_selfAsym,self-related,yes,selfA,a,0.9381703,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,l,0.709245,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,0.7090319,1
22,right,1,f,selfSym_selfAsym,self-related,no,selfA,l,0.7721909,1
22,right,1,f,selfSym_selfAsym,stranger-related,no,selfA,a,0.4914183,0
