"Subject","Gender","Age","Condition","RT_ms","RT_sec","ACC"
5,"female",19,"bm",777,0.777,0
5,"female",19,"bm",729,0.729,1
5,"female",19,"bm",566,0.566,1
5,"female",19,"bm",773,0.773,1
5,"female",19,"bm",525,0.525,0
5,"female",19,"bm",523,0.523,1
5,"female",19,"bm",695,0.695,1
5,"female",19,"bm",646,0.646,1
5,"female",19,"bm",390,0.39,1
5,"female",19,"bm",565,0.565,0
5,"female",19,"bm",566,0.566,1
5,"female",19,"bm",1129,1.129,1
5,"female",19,"bn",418,0.418,0
5,"female",19,"bn",293,0.293,0
5,"female",19,"bn",553,0.553,1
5,"female",19,"bn",624,0.624,1
5,"female",19,"bn",688,0.688,0
5,"female",19,"bn",573,0.573,0
5,"female",19,"bn",656,0.656,1
5,"female",19,"bn",689,0.689,1
5,"female",19,"bn",1076,1.076,1
5,"female",19,"bn",831,0.831,1
5,"female",19,"bn",610,0.61,1
5,"female",19,"bn",917,0.917,1
5,"female",19,"bn",756,0.756,1
5,"female",19,"bn",681,0.681,1
5,"female",19,"bn",520,0.52,0
5,"female",19,"bn",665,0.665,1
5,"female",19,"bn",885,0.885,1
5,"female",19,"bn",666,0.666,1
5,"female",19,"im",544,0.544,1
5,"female",19,"im",275,0.275,0
5,"female",19,"im",419,0.419,1
5,"female",19,"im",431,0.431,1
5,"female",19,"im",498,0.498,1
5,"female",19,"im",489,0.489,1
5,"female",19,"im",783,0.783,1
5,"female",19,"im",551,0.551,1
5,"female",19,"im",387,0.387,1
5,"female",19,"im",549,0.549,1
5,"female",19,"im",448,0.448,0
5,"female",19,"im",344,0.344,1
5,"female",19,"im",606,0.606,1
5,"female",19,"im",585,0.585,1
5,"female",19,"im",603,0.603,1
5,"female",19,"im",668,0.668,1
5,"female",19,"im",732,0.732,0
5,"female",19,"im",620,0.62,0
5,"female",19,"im",493,0.493,1
5,"female",19,"im",520,0.52,1
5,"female",19,"im",401,0.401,1
5,"female",19,"im",571,0.571,1
5,"female",19,"im",428,0.428,1
5,"female",19,"im",638,0.638,0
5,"female",19,"in",393,0.393,0
5,"female",19,"in",484,0.484,0
5,"female",19,"in",640,0.64,1
5,"female",19,"in",487,0.487,1
5,"female",19,"in",1321,1.321,1
5,"female",19,"in",398,0.398,0
5,"female",19,"in",796,0.796,1
5,"female",19,"in",653,0.653,1
5,"female",19,"in",614,0.614,1
5,"female",19,"in",694,0.694,1
5,"female",19,"in",543,0.543,1
5,"female",19,"in",720,0.72,1
5,"female",19,"mm",284,0.284,1
5,"female",19,"mm",347,0.347,0
5,"female",19,"mm",508,0.508,1
5,"female",19,"mm",655,0.655,1
5,"female",19,"mm",693,0.693,1
5,"female",19,"mm",565,0.565,1
5,"female",19,"mm",631,0.631,1
5,"female",19,"mm",464,0.464,1
5,"female",19,"mm",687,0.687,0
5,"female",19,"mm",580,0.58,0
5,"female",19,"mm",584,0.584,1
5,"female",19,"mm",554,0.554,1
5,"female",19,"mm",558,0.558,1
5,"female",19,"mm",401,0.401,1
5,"female",19,"mm",506,0.506,1
5,"female",19,"mm",281,0.281,0
5,"female",19,"mm",579,0.579,1
5,"female",19,"mm",564,0.564,1
5,"female",19,"mn",560,0.56,0
5,"female",19,"mn",324,0.324,1
5,"female",19,"mn",676,0.676,0
5,"female",19,"mn",592,0.592,1
5,"female",19,"mn",581,0.581,1
5,"female",19,"mn",600,0.6,1
5,"female",19,"mn",714,0.714,1
5,"female",19,"mn",600,0.6,1
5,"female",19,"mn",701,0.701,0
5,"female",19,"mn",607,0.607,1
5,"female",19,"mn",695,0.695,1
5,"female",19,"mn",561,0.561,1
5,"female",19,"mn",472,0.472,1
5,"female",19,"mn",667,0.667,1
5,"female",19,"mn",708,0.708,1
5,"female",19,"mn",579,0.579,1
5,"female",19,"mn",687,0.687,1
5,"female",19,"mn",644,0.644,1
5,"female",19,"nm",492,0.492,0
5,"female",19,"nm",468,0.468,1
5,"female",19,"nm",578,0.578,0
5,"female",19,"nm",519,0.519,0
5,"female",19,"nm",506,0.506,0
5,"female",19,"nm",591,0.591,0
5,"female",19,"nm",609,0.609,0
5,"female",19,"nm",965,0.965,0
5,"female",19,"nm",474,0.474,0
5,"female",19,"nm",480,0.48,1
5,"female",19,"nm",762,0.762,1
5,"female",19,"nm",531,0.531,0
5,"female",19,"nm",622,0.622,0
5,"female",19,"nm",348,0.348,0
5,"female",19,"nm",837,0.837,1
5,"female",19,"nm",723,0.723,0
5,"female",19,"nm",454,0.454,1
5,"female",19,"nm",625,0.625,1
5,"female",19,"nn",747,0.747,0
5,"female",19,"nn",430,0.43,1
5,"female",19,"nn",578,0.578,1
5,"female",19,"nn",625,0.625,1
5,"female",19,"nn",470,0.47,1
5,"female",19,"nn",511,0.511,0
5,"female",19,"nn",550,0.55,1
5,"female",19,"nn",676,0.676,1
5,"female",19,"nn",434,0.434,1
5,"female",19,"nn",852,0.852,1
5,"female",19,"nn",762,0.762,1
5,"female",19,"nn",1095,1.095,1
5,"female",19,"nn",361,0.361,1
5,"female",19,"nn",654,0.654,1
5,"female",19,"nn",563,0.563,1
5,"female",19,"nn",550,0.55,1
5,"female",19,"nn",669,0.669,1
5,"female",19,"nn",779,0.779,1
6,"female",22,"bm",0,0,0
6,"female",22,"bm",1265,1.265,1
6,"female",22,"bm",428,0.428,1
6,"female",22,"bm",691,0.691,1
6,"female",22,"bm",439,0.439,0
6,"female",22,"bm",645,0.645,1
6,"female",22,"bm",771,0.771,1
6,"female",22,"bm",721,0.721,1
6,"female",22,"bm",549,0.549,1
6,"female",22,"bm",693,0.693,0
6,"female",22,"bm",610,0.61,1
6,"female",22,"bm",272,0.272,1
6,"female",22,"bm",654,0.654,1
6,"female",22,"bm",728,0.728,1
6,"female",22,"bm",733,0.733,1
6,"female",22,"bm",558,0.558,1
6,"female",22,"bm",603,0.603,1
6,"female",22,"bm",515,0.515,1
6,"female",22,"bn",0,0,0
6,"female",22,"bn",1008,1.008,1
