"Participant.Public.ID ""Trial.Number"" ""Reaction.Time"" ""Response"" ""Correct"" ""Incorrect"" ""Label"" ""Model"" ""P_Group"" ""P_Orginal"" ""ACC_Mat"""
"133 ""563fa227074be600115e9642"" 5 1225 ""right"" 1 0 ""Stranger"" ""m35"" ""Other"" ""NEIN"" 0.828125"
"134 ""563fa227074be600115e9642"" 6 1454.79999995232 ""right"" 1 0 ""Stranger"" ""f15"" ""Other"" ""NEIN"" 0.828125"
"135 ""563fa227074be600115e9642"" 7 1329.10000002384 ""left"" 1 0 ""Stranger"" ""f27"" ""User"" ""NEIN"" 0.828125"
"136 ""563fa227074be600115e9642"" 8 1247.39999997616 ""right"" 1 0 ""Stranger"" ""m34"" ""Other"" ""JA"" 0.828125"
"137 ""563fa227074be600115e9642"" 9 1086.39999997616 ""left"" 1 0 ""Stranger"" ""m38"" ""User"" ""JA"" 0.828125"
"138 ""563fa227074be600115e9642"" 10 879.600000023842 ""right"" 1 0 ""Stranger"" ""m35"" ""Other"" ""JA"" 0.828125"
"139 ""563fa227074be600115e9642"" 11 936.100000023842 ""right"" 1 0 ""Stranger"" ""f18"" ""Other"" ""JA"" 0.828125"
"140 ""563fa227074be600115e9642"" 12 2180.10000002384 ""right"" 1 0 ""Stranger"" ""f15"" ""Other"" ""JA"" 0.828125"
"141 ""563fa227074be600115e9642"" 13 1049.29999995232 ""left"" 1 0 ""Stranger"" ""f27"" ""User"" ""JA"" 0.828125"
"142 ""563fa227074be600115e9642"" 14 1301.60000002384 ""left"" 1 0 ""Me"" ""f15"" ""Other"" ""NEIN"" 0.828125"
"143 ""563fa227074be600115e9642"" 15 1065.79999995232 ""left"" 1 0 ""Stranger"" ""m33"" ""User"" ""JA"" 0.828125"
"144 ""563fa227074be600115e9642"" 16 714 ""right"" 1 0 ""Me"" ""m38"" ""User"" ""NEIN"" 0.828125"
"145 ""563fa227074be600115e9642"" 17 1465.39999997616 ""right"" 1 0 ""Me"" ""m33"" ""User"" ""JA"" 0.828125"
"146 ""563fa227074be600115e9642"" 18 707.5 ""right"" 1 0 ""Me"" ""m38"" ""User"" ""NEIN"" 0.828125"
