"","Subject","Age","Gender","Ethnicity","Handedness","Group","Shape","Label","Matching","Identity","Response","RT_ms","RT_sec","ACC"
"267",18080,22,"Female",6,"Right",2,"happy","friend","Nonmatching","self","48",755,0.755,1
"268",18080,22,"Female",6,"Right",2,"happy","friend","Nonmatching","self","48",758,0.758,1
"269",18080,22,"Female",6,"Right",2,"neutral","self","Nonmatching","friend","48",611,0.611,1
"270",18080,22,"Female",6,"Right",2,"happy","friend","Nonmatching","self","48",619,0.619,1
"271",18080,22,"Female",6,"Right",2,"line","friend","Nonmatching","self","48",571,0.571,1
"272",18080,22,"Female",6,"Right",2,"neutral","self","Nonmatching","friend","48",762,0.762,1
"273",18080,22,"Female",6,"Right",2,"line","friend","Nonmatching","self","48",664,0.664,1
"274",18080,22,"Female",6,"Right",2,"sad","friend","Nonmatching","self","48",569,0.569,1
"275",18080,22,"Female",6,"Right",2,"line","self","Nonmatching","friend","48",739,0.739,1
"276",18080,22,"Female",6,"Right",2,"line","self","Nonmatching","friend","48",979,0.979,1
"277",18080,22,"Female",6,"Right",2,"happy","friend","Nonmatching","self","48",670,0.67,1
"278",18080,22,"Female",6,"Right",2,"neutral","friend","Nonmatching","self","47",910,0.91,0
"279",18080,22,"Female",6,"Right",2,"happy","self","Nonmatching","friend","48",902,0.902,1
"280",18080,22,"Female",6,"Right",2,"sad","friend","Nonmatching","self","48",877,0.877,1
"281",18080,22,"Female",6,"Right",2,"line","self","Nonmatching","friend","47",1267,1.267,0
"282",18080,22,"Female",6,"Right",2,"happy","friend","Nonmatching","self","48",749,0.749,1
"283",18080,22,"Female",6,"Right",2,"happy","friend","Nonmatching","self","48",844,0.844,1
"284",18080,22,"Female",6,"Right",2,"line","friend","Nonmatching","self","48",681,0.681,1
"285",18080,22,"Female",6,"Right",2,"happy","self","Nonmatching","friend","48",560,0.56,1
"286",18080,22,"Female",6,"Right",2,"happy","friend","Nonmatching","self","48",822,0.822,1
"287",18080,22,"Female",6,"Right",2,"line","friend","Nonmatching","self","48",765,0.765,1
"288",18080,22,"Female",6,"Right",2,"neutral","self","Nonmatching","friend","48",929,0.929,1
"289",18080,22,"Female",6,"Right",2,"line","friend","Nonmatching","self","47",664,0.664,0
"290",18080,22,"Female",6,"Right",2,"line","self","Nonmatching","friend","48",1010,1.01,1
"291",18080,22,"Female",6,"Right",2,"happy","self","Nonmatching","friend","48",571,0.571,1
"292",18080,22,"Female",6,"Right",2,"line","self","Nonmatching","friend","47",500,0.5,0
"293",18080,22,"Female",6,"Right",2,"sad","friend","Nonmatching","self","48",717,0.717,1
"294",18080,22,"Female",6,"Right",2,"happy","friend","Nonmatching","self","47",450,0.45,0
"295",18080,22,"Female",6,"Right",2,"line","self","Nonmatching","friend","48",593,0.593,1
"296",18080,22,"Female",6,"Right",2,"sad","friend","Nonmatching","self","48",955,0.955,1
"297",18080,22,"Female",6,"Right",2,"line","self","Nonmatching","friend","48",510,0.51,1
"298",18080,22,"Female",6,"Right",2,"sad","friend","Nonmatching","self","48",715,0.715,1
"299",18080,22,"Female",6,"Right",2,"sad","self","Nonmatching","friend","48",1135,1.135,1
