subj_idx,person,match,stim,accuracy,response,rt
12,Self,match,1,1,1,0.442
12,Friend,mismatch,0,1,0,0.542
12,Stranger,match,1,1,1,0.547
12,Stranger,mismatch,0,1,0,0.646
12,Self,match,1,1,1,0.548
12,Self,mismatch,0,1,0,0.537
12,Friend,match,1,1,1,0.588
12,Self,mismatch,0,1,0,0.411
12,Friend,match,1,1,1,0.445
12,Self,match,1,1,1,0.695
12,Stranger,match,1,1,1,0.876
12,Friend,mismatch,0,1,0,0.645
12,Self,match,1,1,1,0.508
12,Self,mismatch,0,1,0,0.53
12,Friend,match,1,1,1,0.536
12,Friend,mismatch,0,1,0,0.647
12,Stranger,mismatch,0,1,0,0.718
12,Stranger,mismatch,0,1,0,0.612
12,Stranger,match,1,1,1,0.651
12,Self,match,1,1,1,0.466
12,Friend,match,1,0,0,0.552
12,Friend,mismatch,0,1,0,0.518
12,Self,mismatch,0,1,0,0.562
12,Self,mismatch,0,1,0,0.701
12,Stranger,match,1,1,1,0.708
12,Friend,mismatch,0,0,1,0.666
12,Friend,match,1,1,1,0.657
12,Stranger,mismatch,0,1,0,0.753
12,Stranger,match,1,1,1,0.721
12,Stranger,mismatch,0,1,0,0.67
12,Self,match,1,1,1,0.636
12,Self,match,1,1,1,0.492
12,Friend,match,1,1,1,0.581
12,Stranger,mismatch,0,1,0,0.547
12,Stranger,match,1,1,1,0.644
12,Friend,mismatch,0,1,0,0.612
12,Stranger,mismatch,0,1,0,0.564
