SessionDate,Subject,Age,Handedness,MotherTongue,Sex,Procedure[SubTrial],LabelOrder,BlockType,CloseShape,CloseWord,MediumShape,MediumWord,FarShape,FarWord,Target.ACC,Target.CRESP,Target.RESP,Target.RT,Congruent,Incongruent,Stimulus,Word
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,4136,m,z,circle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1240,m,z,square.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1199,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1064,m,z,circle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1143,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,993,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,850,m,z,circle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1753,m,z,square.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1436,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1131,m,z,square.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1093,m,z,triangle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,0,m,z,2754,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1970,m,z,triangle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,9211,m,z,circle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1660,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,2914,m,z,square.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1316,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1192,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1104,m,z,circle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,701,m,z,circle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,746,m,z,triangle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,885,m,z,square.bmp,Self
11-20-2016,8,27,right,Hebrew,female,FBbreak1,USF,,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,,,,,m,z,,
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,4244,m,z,triangle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,976,m,z,square.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1681,m,z,triangle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1142,m,z,circle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1024,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1600,m,z,triangle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,600,m,z,triangle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,617,m,z,triangle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1577,m,z,square.bmp,Stranger
