Participant.Public.ID,Trial.Number,Reaction.Time,Response,Correct,Incorrect,Label,Model,P_Group,P_Orginal,ACC_Mat
5e0e40e0500f0658c9663bc0,35,481.8000002,left,1,0,Me,m34,Other,NEIN,0.640625
5e0e40e0500f0658c9663bc0,36,689,left,1,0,Me,f15,Other,NEIN,0.640625
5e0e40e0500f0658c9663bc0,37,556.8000002,right,1,0,Me,f4,User,NEIN,0.640625
5e0e40e0500f0658c9663bc0,38,523.3,right,0,1,Stranger,m33,User,JA,0.640625
5e0e40e0500f0658c9663bc0,39,635.8000002,right,0,1,Stranger,m38,User,JA,0.640625
5e0e40e0500f0658c9663bc0,40,478.3,right,1,0,Me,f27,User,JA,0.640625
5e0e40e0500f0658c9663bc0,41,544.8000002,right,1,0,Stranger,f18,Other,NEIN,0.640625
5e0e40e0500f0658c9663bc0,42,3461.6,left,0,1,Stranger,f15,Other,JA,0.640625
5e0e40e0500f0658c9663bc0,43,1580.3,left,1,0,Me,m35,Other,NEIN,0.640625
5e0e40e0500f0658c9663bc0,44,1901.5,left,0,1,Stranger,f18,Other,JA,0.640625
5e0e40e0500f0658c9663bc0,45,1848.3,right,1,0,Stranger,m35,Other,JA,0.640625
5e0e40e0500f0658c9663bc0,46,901.8999999,left,1,0,Stranger,m33,User,NEIN,0.640625
5e0e40e0500f0658c9663bc0,47,947,right,1,0,Me,m33,User,NEIN,0.640625
5e0e40e0500f0658c9663bc0,48,1232.7,right,1,0,Stranger,m34,Other,NEIN,0.640625
5e0e40e0500f0658c9663bc0,49,2016.4,left,0,1,Stranger,f18,Other,JA,0.640625
5e0e40e0500f0658c9663bc0,50,678.1000001,right,0,1,Stranger,f27,User,JA,0.640625
5e0e40e0500f0658c9663bc0,51,3392,left,1,0,Me,m35,Other,JA,0.640625
5e0e40e0500f0658c9663bc0,52,1065.4,left,0,1,Stranger,m34,Other,NEIN,0.640625
5e0e40e0500f0658c9663bc0,53,1152.5,right,1,0,Stranger,f15,Other,NEIN,0.640625
5e0e40e0500f0658c9663bc0,54,877.0999999,left,1,0,Stranger,f4,User,NEIN,0.640625
