"","Subject","Trial","Matching","Face","Label","Response","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","RT_ms","RT_sec","ACC"
"271",5,15,"Nonmatching","m35","Stranger","right","Stranger","User","Self","Self",1794.7,1.7947,0
"272",5,16,"Matching","m34","Stranger","right","Stranger","User","Self","Self",3864.5,3.8645,0
"273",5,17,"Nonmatching","f18","Stranger","right","Stranger","User","Self","Self",3485.2,3.4852,0
"274",5,18,"Matching","m35","Me","right","Me","User","Self","Self",602.6,0.6026,1
"275",5,19,"Nonmatching","f4","Me","left","Me","Other","Stranger","Stranger",572.1,0.5721,1
"276",5,20,"Nonmatching","m35","Me","right","Me","User","Self","Self",736.4,0.7364,1
"277",5,21,"Matching","f27","Me","left","Me","Other","Stranger","Stranger",1918.3,1.9183,1
"278",5,22,"Nonmatching","m38","Me","right","Me","Other","Stranger","Stranger",1258.3,1.2583,0
"279",5,23,"Nonmatching","m33","Me","right","Me","Other","Stranger","Stranger",1016.7,1.0167,0
"280",5,24,"Matching","f15","Me","right","Me","User","Self","Self",904.8,0.9048,1
"281",5,25,"Matching","m38","Me","left","Me","Other","Stranger","Stranger",2046.4,2.0464,1
"282",5,26,"Nonmatching","f27","Me","left","Me","Other","Stranger","Stranger",396,0.396,1
"283",5,27,"Matching","m35","Stranger","left","Stranger","User","Self","Self",647.7,0.6477,1
"284",5,28,"Matching","m33","Me","left","Me","Other","Stranger","Stranger",953.6,0.9536,1
"285",5,29,"Nonmatching","f4","Stranger","left","Stranger","Other","Stranger","Stranger",1216.8,1.2168,0
"286",5,30,"Matching","m33","Me","left","Me","Other","Stranger","Stranger",627.5,0.6275,1
"287",5,31,"Matching","f18","Me","right","Me","User","Self","Self",693.6,0.6936,1
"288",5,32,"Matching","f15","Stranger","left","Stranger","User","Self","Self",789,0.789,1
"289",5,33,"Nonmatching","m38","Stranger","right","Stranger","Other","Stranger","Stranger",1331.7,1.3317,1
"290",5,34,"Matching","m35","Me","right","Me","User","Self","Self",624.9,0.6249,1
