"Subject","Cohens_d_RT","deta_RT","Cohens_d_ACC","deta_ACC","Matching","Condition"
56,-0.432529229356442,-80.5535056372752,0.704184091630569,0.292224161334109,"Matching","Self-Stranger"
56,-0.212304226621296,-41.2472693139151,-0.0310727053502655,-0.0143645465923313,"Nonmatching","Self-Stranger"
1,-0.868869040602609,-205.917021276596,0.336762212933666,0.107054871220605,"Matching","Self-Stranger"
1,-0.328479258258654,-67.2041223404256,0.0988520729813389,0.0221631205673759,"Nonmatching","Self-Stranger"
2,-0.290093230988727,-50.5729166666666,0.539308283991432,0.166666666666667,"Matching","Self-Stranger"
2,-0.214039747575809,-38.4959429824561,0.00269703919732632,0.00065789473684208,"Nonmatching","Self-Stranger"
3,-0.283970894952665,-75.4027777777777,0.597281093431553,0.222222222222222,"Matching","Self-Stranger"
3,-0.148247820178046,-42.5441777323801,-0.090256420957142,-0.0417517875383044,"Nonmatching","Self-Stranger"
4,0.0923563841947852,22.9342898134864,0.147117932705859,0.0535150645624104,"Matching","Self-Stranger"
4,-0.529461443268043,-111.993229319988,-0.0478785723648329,-0.0150132469826317,"Nonmatching","Self-Stranger"
5,-0.123555587553693,-39.6448512585812,0.317755435977365,0.150228832951945,"Matching","Self-Stranger"
5,0.0761052622054017,25.6808510638298,-0.0871542723843077,-0.0425531914893618,"Nonmatching","Self-Stranger"
6,-0.589491882745939,-107.5625,0.0651002630878265,0.0208333333333334,"Matching","Self-Stranger"
6,-0.127811570347274,-23.2708333333334,-0.0711463796101268,-0.0208333333333333,"Nonmatching","Self-Stranger"
7,0.0436908961110846,8.70372807017543,0.245055536200475,0.0924342105263158,"Matching","Self-Stranger"
7,-0.223299919595565,-39.6979166666666,0.17187146649466,0.0729166666666667,"Nonmatching","Self-Stranger"
8,-0.546899358773964,-96.6875,0.680525257600607,0.260416666666667,"Matching","Self-Stranger"
8,-0.306929319215668,-62.2708333333334,-0.117644916338643,-0.0416666666666666,"Nonmatching","Self-Stranger"
9,-0.542758225321085,-82.28125,0.134068148401258,0.03125,"Matching","Self-Stranger"
9,-0.178287589984091,-24.8333333333334,0.240875844862943,0.0625,"Nonmatching","Self-Stranger"
10,-1.21485043137598,-213.875,0.316030944440804,0.0729166666666666,"Matching","Self-Stranger"
10,0.100180848799202,20.2604166666666,0.31624009530573,0.09375,"Nonmatching","Self-Stranger"
11,-0.322796540489953,-50.7395833333333,0.494586802158038,0.229166666666667,"Matching","Self-Stranger"
11,0.0287856908775122,4.10646929824554,0.380753649768165,0.159539473684211,"Nonmatching","Self-Stranger"
12,-0.344993523026332,-86.0114221724525,0.590873117248362,0.251175811870101,"Matching","Self-Stranger"
12,-0.0771995937857276,-18.5520833333334,-0.145849326460906,-0.0729166666666666,"Nonmatching","Self-Stranger"
13,-0.97967677392025,-188.717653508772,0.420926502587017,0.126754385964912,"Matching","Self-Stranger"
13,-0.211225349009299,-39.9652039007092,0.280725344460894,0.0753546099290781,"Nonmatching","Self-Stranger"
14,0.00406528675176049,1.31034482758616,0.524272771096992,0.241379310344828,"Matching","Self-Stranger"
14,-0.163335725534668,-57.4675213675214,0.255219093089386,0.127228327228327,"Nonmatching","Self-Stranger"
15,-0.209729578953036,-46.0520833333333,0.4588568898797,0.15625,"Matching","Self-Stranger"
15,-0.404734314863998,-80.7282894736842,0.203388130227675,0.075,"Nonmatching","Self-Stranger"
16,-0.210000040807567,-53.625,-0.0472366808851419,-0.0208333333333334,"Matching","Self-Stranger"
16,0.0562249925483055,14.7083333333334,-0.229489487496455,-0.104166666666667,"Nonmatching","Self-Stranger"
17,-0.172059124571045,-47.2150537634409,-0.143352215200494,-0.064516129032258,"Matching","Self-Stranger"
17,-0.0574442142678989,-14.7311827956989,0.0788776343868471,0.032258064516129,"Nonmatching","Self-Stranger"
18,-0.357895890560525,-80.0416666666666,0.287354823236362,0.0833333333333333,"Matching","Self-Stranger"
18,-0.192835904805833,-43.2113101903695,0.152748484694787,0.0613661814109743,"Nonmatching","Self-Stranger"
19,-0.53198825907069,-116.711870100784,0.57358287186143,0.17043673012318,"Matching","Self-Stranger"
19,-0.115960547340464,-26.4315789473685,-0.226149689342667,-0.0736842105263158,"Nonmatching","Self-Stranger"
20,-0.587464120830384,-109.125,0.272814227941856,0.0729166666666667,"Matching","Self-Stranger"
20,-0.0846903378770078,-18.8167109929078,0.00543799598484619,0.00132978723404253,"Nonmatching","Self-Stranger"
21,-0.765691810611909,-185.556359649123,0.326997669494897,0.0845394736842106,"Matching","Self-Stranger"
21,0.0927516055124584,23.4621010638298,-0.0539870089025393,-0.0115248226950355,"Nonmatching","Self-Stranger"
22,-1.31586724644491,-327.035261773846,0.419803084404274,0.125986134353335,"Matching","Self-Stranger"
22,-0.209585779486475,-51.8596618357487,0.233164916981944,0.0743961352657005,"Nonmatching","Self-Stranger"
23,-0.506201646053825,-98.8230263157894,0.650019561820966,0.259429824561404,"Matching","Self-Stranger"
23,-0.345567390523975,-64.8645833333333,0.292087292335125,0.114583333333333,"Nonmatching","Self-Stranger"
24,-0.0795430277003887,-10.34375,0,0,"Matching","Self-Stranger"
24,-0.350014664086647,-44.1875,0.214539347866413,0.0625,"Nonmatching","Self-Stranger"
25,-0.383360030986209,-107.405043859649,0.20873444876018,0.074890350877193,"Matching","Self-Stranger"
25,0.177691846906266,48.8263157894737,0.00413493218759755,0.00142543859649125,"Nonmatching","Self-Stranger"
26,-0.703914917861606,-199.718946978124,0.456796191819737,0.166852057842047,"Matching","Self-Stranger"
26,0.416642555085543,98.2721598002497,0.179904364426657,0.0690387016229712,"Nonmatching","Self-Stranger"
27,0.365734269806045,89.1940789473684,-0.257488421541163,-0.0850877192982455,"Matching","Self-Stranger"
27,-0.0596513340083243,-14.2,-0.0693056297258858,-0.031578947368421,"Nonmatching","Self-Stranger"
28,-0.58435662449086,-144.433732269504,0.464004240021505,0.19459219858156,"Matching","Self-Stranger"
28,-0.103294254124753,-24.3863031914893,-0.036028932192767,-0.0157358156028369,"Nonmatching","Self-Stranger"
29,-0.941111089129612,-148.950219298246,-0.042146361521176,-0.00986842105263153,"Matching","Self-Stranger"
29,0.084626163220964,13.8042996453901,0.55123313903898,0.170877659574468,"Nonmatching","Self-Stranger"
30,-0.526273746005401,-136.338528025144,0.900257996939572,0.330015715034049,"Matching","Self-Stranger"
30,0.336805148008335,81.3706573679452,0.417960112531994,0.186620173059538,"Nonmatching","Self-Stranger"
