"Subject","P1Age","P2Age","Block","Trial","Shape","Label","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","ShapeLoc","Response","RT_ms","RT_sec","ACC"
1,24,21,2,8,"Person2","StrangerTeam","Nonmatching",NA,"StrangerTeam","Group-Stranger","Stranger","Top","z",966.868051,0.966868051,0
1,24,21,2,9,"StrangerTeam","Person1","Nonmatching",NA,"Person1","Individual_Self","Self","Bottom","num_3",933.632272,0.933632272,1
1,24,21,2,10,"Stranger","Person2","Nonmatching",NA,"Person2","Individual_Self","Self","Bottom","num_3",800.250142,0.800250142,1
1,24,21,2,11,"Person2","Person1","Nonmatching",NA,"Person1","Individual_Self","Self","Top","num_3",766.860787,0.766860787,1
1,24,21,2,12,"Person1","Stranger","Nonmatching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","num_3",583.571888,0.583571888,1
1,24,21,2,13,"StrangerTeam","StrangerTeam","Matching",NA,"StrangerTeam","Group-Stranger","Stranger","Top","z",733.55355,0.73355355,1
1,24,21,2,14,"Stranger","Stranger","Matching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","num_3",566.958143,0.566958143,0
1,24,21,2,15,"StrangerTeam","StrangerTeam","Matching",NA,"StrangerTeam","Group-Stranger","Stranger","Bottom","z",700.275132,0.700275132,1
1,24,21,2,16,"Stranger","Stranger","Matching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","z",983.58997,0.98358997,1
1,24,21,2,17,"Person2","Person2","Matching",NA,"Person2","Individual_Self","Self","Top","z",666.943812,0.666943812,1
1,24,21,2,18,"StrangerTeam","StrangerTeam","Matching",NA,"StrangerTeam","Group-Stranger","Stranger","Bottom","z",650.253873,0.650253873,1
1,24,21,2,19,"Team","Stranger","Nonmatching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","num_3",433.865003,0.433865003,1
1,24,21,2,20,"Team","Team","Matching",NA,"Team","Group-Self","Self","Bottom","z",616.955716,0.616955716,1
1,24,21,2,21,"Team","Team","Matching",NA,"Team","Group-Self","Self","Top","z",633.600254,0.633600254,1
1,24,21,2,22,"Person1","StrangerTeam","Nonmatching",NA,"StrangerTeam","Group-Stranger","Stranger","Bottom","num_3",800.341339,0.800341339,1
1,24,21,2,23,"Person1","Person1","Matching",NA,"Person1","Individual_Self","Self","Bottom","z",516.998867,0.516998867,1
1,24,21,2,24,"Team","Team","Matching",NA,"Team","Group-Self","Self","Top","z",833.600017,0.833600017,1
1,24,21,2,25,"StrangerTeam","StrangerTeam","Matching",NA,"StrangerTeam","Group-Stranger","Stranger","Top","z",766.916848,0.766916848,1
1,24,21,2,26,"Team","StrangerTeam","Nonmatching",NA,"StrangerTeam","Group-Stranger","Stranger","Top","num_3",533.601952,0.533601952,1
1,24,21,2,27,"Stranger","Stranger","Matching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","z",633.50195,0.63350195,1
1,24,21,2,28,"Team","Person2","Nonmatching",NA,"Person2","Individual_Self","Self","Bottom","num_3",617.146007,0.617146007,1
1,24,21,2,29,"Person2","Person1","Nonmatching",NA,"Person1","Individual_Self","Self","Bottom","num_3",833.724772,0.833724772,1
1,24,21,2,30,"Stranger","Stranger","Matching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","z",716.896773,0.716896773,1
1,24,21,2,31,"Stranger","Team","Nonmatching",NA,"Team","Group-Self","Self","Bottom","num_3",850.241397,0.850241397,1
1,24,21,2,32,"Stranger","Stranger","Matching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","num_3",583.607814,0.583607814,0
1,24,21,2,33,"Person1","Person1","Matching",NA,"Person1","Individual_Self","Self","Top","z",566.908399,0.566908399,1
1,24,21,2,34,"Stranger","Person1","Nonmatching",NA,"Person1","Individual_Self","Self","Bottom","num_3",583.756652,0.583756652,1
1,24,21,2,35,"Stranger","Person1","Nonmatching",NA,"Person1","Individual_Self","Self","Bottom","num_3",683.598221,0.683598221,1
1,24,21,2,36,"Person2","Person2","Matching",NA,"Person2","Individual_Self","Self","Bottom","z",667.002242,0.667002242,1
1,24,21,2,37,"StrangerTeam","Team","Nonmatching",NA,"Team","Group-Self","Self","Top","z",918.557831,0.918557831,0
1,24,21,2,38,"StrangerTeam","StrangerTeam","Matching",NA,"StrangerTeam","Group-Stranger","Stranger","Bottom","None",NA,NA,3
1,24,21,2,39,"Person2","StrangerTeam","Nonmatching",NA,"StrangerTeam","Group-Stranger","Stranger","Bottom","z",750.237568,0.750237568,0
1,24,21,2,40,"Team","Person1","Nonmatching",NA,"Person1","Individual_Self","Self","Bottom","num_3",583.815081,0.583815081,1
1,24,21,2,41,"Team","Person2","Nonmatching",NA,"Person2","Individual_Self","Self","Top","num_3",733.604083,0.733604083,1
1,24,21,2,42,"Person1","Person1","Matching",NA,"Person1","Individual_Self","Self","Top","z",600.27604,0.60027604,1
1,24,21,2,43,"Stranger","Team","Nonmatching",NA,"Team","Group-Self","Self","Bottom","num_3",617.050071,0.617050071,1
1,24,21,2,44,"StrangerTeam","StrangerTeam","Matching",NA,"StrangerTeam","Group-Stranger","Stranger","Top","z",667.08278,0.66708278,1
1,24,21,2,45,"StrangerTeam","Stranger","Nonmatching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","num_3",616.89847,0.61689847,1
1,24,21,2,46,"Person2","Person2","Matching",NA,"Person2","Individual_Self","Self","Top","num_3",766.972909,0.766972909,0
1,24,21,2,47,"Person2","Person2","Matching",NA,"Person2","Individual_Self","Self","Top","z",583.744018,0.583744018,1
1,24,21,2,48,"Person2","Person2","Matching",NA,"Person2","Individual_Self","Self","Bottom","z",716.901905,0.716901905,1
1,24,21,2,49,"Person1","Person2","Nonmatching",NA,"Person2","Individual_Self","Self","Bottom","z",616.913473,0.616913473,0
1,24,21,2,50,"Person2","Person2","Matching",NA,"Person2","Individual_Self","Self","Top","num_3",616.882284,0.616882284,0
1,24,21,2,51,"Person1","StrangerTeam","Nonmatching",NA,"StrangerTeam","Group-Stranger","Stranger","Top","num_3",700.297636,0.700297636,1
1,24,21,2,52,"Team","Team","Matching",NA,"Team","Group-Self","Self","Top","num_3",1067.024271,1.067024271,0
1,24,21,2,53,"StrangerTeam","Person2","Nonmatching",NA,"Person2","Individual_Self","Self","Top","num_3",900.357013,0.900357013,1
1,24,21,2,54,"Person2","Team","Nonmatching",NA,"Team","Group-Self","Self","Bottom","num_3",583.614131,0.583614131,1
1,24,21,2,55,"Person2","Stranger","Nonmatching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","num_3",600.287489,0.600287489,1
1,24,21,2,56,"Person1","Team","Nonmatching",NA,"Team","Group-Self","Self","Top","num_3",767.058184,0.767058184,1
1,24,21,2,57,"Person2","Person2","Matching",NA,"Person2","Individual_Self","Self","Bottom","z",866.910413,0.866910413,1
1,24,21,2,58,"StrangerTeam","Team","Nonmatching",NA,"Team","Group-Self","Self","Bottom","num_3",950.259834,0.950259834,1
1,24,21,2,59,"Stranger","Stranger","Matching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","z",700.220651,0.700220651,1
1,24,21,2,60,"Person1","Person1","Matching",NA,"Person1","Individual_Self","Self","Bottom","z",550.194772,0.550194772,1
