"Subject","Age","Gender","Handedness","Label","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Matching","Condition","Race","RT_ms","RT_sec","ACC"
1,20,"female","right","Self","Self","self","Self","Self","Matching","Asian","Asian",684.667594,0.684667594,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",702.665681,0.702665681,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",892.8178451,0.8928178451,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",666.954767,0.666954767,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","Asian","Asian",604.5853142,0.6045853142,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",587.9654109,0.5879654109,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","Asian","White",604.5615932,0.6045615932,0
1,20,"female","right","Self","Self","self","Self","Self","Matching","Asian","Asian",943.0565711,0.9430565711,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","Asian","White",769.494477,0.769494477,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","Asian","White",752.270628,0.752270628,0
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",642.5578811,0.6425578811,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",614.7141689,0.6147141689,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",654.3948201,0.6543948201,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","Asian","White",601.7321409,0.6017321409,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","Asian","White",644.6774981,0.6446774981,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","Asian","Asian",521.8455601,0.5218455601,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",685.9796341,0.6859796341,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",794.676224,0.794676224,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","Asian","White",764.7622949,0.7647622949,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","Asian","White",514.7057611,0.5147057611,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",551.7439111,0.5517439111,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",766.000096,0.766000096,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","Asian","Asian",594.920133,0.594920133,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",765.9990981,0.7659990981,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","Asian","White",732.6491089,0.7326491089,0
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","Asian","White",692.673048,0.692673048,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",686.129038,0.686129038,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",664.32735,0.66432735,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","Asian","White",642.4165012,0.6424165012,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","Asian","Asian",724.5365879,0.7245365879,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","Asian","Asian",651.9828551,0.6519828551,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","Asian","Asian",522.4949359,0.5224949359,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",663.9034732,0.6639034732,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",685.8865591,0.6858865591,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","Asian","Asian",564.466435,0.564466435,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",642.428709,0.642428709,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",669.1017051,0.6691017051,0
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",616.9769941,0.6169769941,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",942.777311,0.942777311,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",631.9337499,0.6319337499,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",701.9748332,0.7019748332,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","Asian","White",744.920854,0.744920854,0
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",780.8929929,0.7808929929,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",824.9817148,0.8249817148,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","Asian","Asian",702.7151249,0.7027151249,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",654.930779,0.654930779,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",682.424,0.682424,0
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",670.8394028,0.6708394028,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","Asian","Asian",742.4978791,0.7424978791,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","Asian","Asian",525.2757419,0.5252757419,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","Asian","Asian",572.5922389,0.5725922389,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",581.993876,0.581993876,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",904.779254,0.904779254,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","Asian","Asian",602.391853,0.602391853,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","Asian","White",664.545771,0.664545771,0
1,20,"female","right","Self","Self","self","Self","Self","Matching","Asian","Asian",600.6992881,0.6006992881,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",664.631454,0.664631454,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",630.672904,0.630672904,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","Asian","White",763.97635,0.76397635,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","Asian","Asian",642.8958299,0.6428958299,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","Asian","Asian",694.6679929,0.6946679929,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",702.5338081,0.7025338081,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",720.5542249,0.7205542249,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","Asian","Asian",569.8107819,0.5698107819,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","Asian","White",727.4592519,0.7274592519,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","Asian","Asian",1097.112999,1.097112999,1
