"","Subject","Age","Gender","Handedness","Shape","Identity","Matching","Response","RT_ms","ACC","RT_sec"
"1830",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",1,456,0,0.456
"1831",24408280,21,"Mujer","Diestro","triangulo","extrano","Nonmatching",1,416,1,0.416
"1832",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",1,515,0,0.515
"1833",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,419,1,0.419
"1834",24408280,21,"Mujer","Diestro","triangulo","extrano","Nonmatching",1,713,1,0.713
"1835",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,644,1,0.644
"1836",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,450,1,0.45
"1837",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,369,1,0.369
"1838",24408280,21,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,533,1,0.533
"1839",24408280,21,"Mujer","Diestro","circulo","extrano","Matching",5,501,1,0.501
"1840",24408280,21,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,619,1,0.619
"1841",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,206,1,0.206
"1842",24408280,21,"Mujer","Diestro","cuadrado","tu","Nonmatching",5,272,0,0.272
"1843",24408280,21,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,496,1,0.496
"1844",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,368,1,0.368
"1845",24408280,21,"Mujer","Diestro","circulo","tu","Nonmatching",1,496,1,0.496
"1846",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,388,1,0.388
"1847",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,404,1,0.404
"1848",24408280,21,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,373,1,0.373
"1849",24408280,21,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,454,1,0.454
"1850",24408280,21,"Mujer","Diestro","circulo","tu","Nonmatching",1,437,1,0.437
"1851",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",1,478,0,0.478
"1852",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,280,1,0.28
"1853",24408280,21,"Mujer","Diestro","circulo","tu","Nonmatching",1,489,1,0.489
"1854",24408280,21,"Mujer","Diestro","circulo","tu","Nonmatching",1,436,1,0.436
"1855",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,499,1,0.499
"1856",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,406,1,0.406
"1857",24408280,21,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,489,1,0.489
"1858",24408280,21,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,542,1,0.542
"1859",24408280,21,"Mujer","Diestro","circulo","tu","Nonmatching",1,494,1,0.494
"1860",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,493,1,0.493
"1861",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,315,1,0.315
"1862",24408280,21,"Mujer","Diestro","circulo","tu","Nonmatching",1,432,1,0.432
"1863",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,521,1,0.521
"1864",24408280,21,"Mujer","Diestro","circulo","tu","Nonmatching",1,463,1,0.463
"1865",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,328,1,0.328
"1866",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,329,1,0.329
"1867",24408280,21,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,515,1,0.515
"1868",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,408,1,0.408
"1869",24408280,21,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,497,1,0.497
"1870",24408280,21,"Mujer","Diestro","circulo","tu","Nonmatching",1,380,1,0.38
"1871",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,342,1,0.342
"1872",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,399,1,0.399
"1873",24408280,21,"Mujer","Diestro","circulo","tu","Nonmatching",1,415,1,0.415
"1874",24408280,21,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,473,1,0.473
"1875",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,472,1,0.472
"1876",24408280,21,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,496,1,0.496
"1877",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,392,1,0.392
"1878",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,436,1,0.436
"1879",24408280,21,"Mujer","Diestro","circulo","tu","Nonmatching",1,531,1,0.531
"1880",24408280,21,"Mujer","Diestro","circulo","tu","Nonmatching",1,424,1,0.424
"1881",24408280,21,"Mujer","Diestro","circulo","tu","Nonmatching",1,458,1,0.458
"1882",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,329,1,0.329
"1883",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,396,1,0.396
"1884",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,393,1,0.393
"1885",24408280,21,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,514,1,0.514
"1886",24408280,21,"Mujer","Diestro","cuadrado","tu","Nonmatching",5,357,0,0.357
"1887",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,340,1,0.34
"1888",24408280,21,"Mujer","Diestro","triangulo","tu","Matching",5,324,1,0.324
