Shape,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,rt,P1key,P2key,StrangerKey,WeKey,OtherKey,P1Shape,P2Shape,StrangerShape,StrangerTeamShape,corr,PairNumber,P2Age,P1Age
P1,5,1,26,0,c,2.611006644,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
P2,5,2,27,1,n,3.222459011,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
We,5,3,28,3,b,5.697386182,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
P1,5,4,29,0,c,2.552980879,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
P2,6,0,30,1,n,2.62254176,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
P1,6,1,31,0,c,3.027332833,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
We,6,2,32,3,b,2.662081651,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
P1,6,3,33,0,c,2.023599258,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
Stranger,6,4,34,2,v,1.794261736,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
Other,7,0,35,4,m,2.214316762,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
We,7,1,36,3,b,1.879435175,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
Stranger,7,2,37,2,v,2.679512634,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
We,7,3,38,3,b,3.687770558,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
Other,7,4,39,4,m,1.984006465,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
Stranger,8,0,40,2,v,10.47615814,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
Stranger,8,1,41,2,v,1.477398191,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
P2,8,2,42,1,n,3.910191669,c,n,v,b,m,TRIANGLE,CIRCLE,DIAMOND,PENTAGON,1,11,22,21
