"","Subject","Age","Handedness","Gender","Response","Symmetry","Matching","Origin_Identity","English_Identity","Standarlized_Identity","RT_ms","RT_sec","ACC"
"233",1,22,"right","f","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",533.7958,0.5337958,0
"234",1,22,"right","f","l","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",865.4024,0.8654024,1
"235",1,22,"right","f","a","Symmetry","Nonmatching","stranger-related","Stranger","Stranger",546.4629,0.5464629,0
"236",1,22,"right","f","l","Symmetry","Matching","stranger-related","Stranger","Stranger",555.0514,0.5550514,0
"237",1,22,"right","f","l","Symmetry","Nonmatching","self-related","Self","Self",1103.885,1.103885,1
"238",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",680.2206,0.6802206,1
"239",1,22,"right","f","a","Symmetry","Matching","stranger-related","Stranger","Stranger",623.7583,0.6237583,1
"240",1,22,"right","f","a","Symmetry","Matching","self-related","Self","Self",573.4384,0.5734384,1
"241",1,22,"right","f","a","Asymmetry","Matching","stranger-related","Stranger","Stranger",778.5156,0.7785156,1
"242",1,22,"right","f","a","Asymmetry","Matching","self-related","Self","Self",859.5172,0.8595172,1
"243",1,22,"right","f","l","Asymmetry","Nonmatching","stranger-related","Stranger","Stranger",705.295,0.705295,1
"244",1,22,"right","f","l","Asymmetry","Nonmatching","self-related","Self","Self",645.7602,0.6457602,1
"245",1,22,"right","f","a","Asymmetry","Matching","self-related","Self","Self",748.9635,0.7489635,1
"246",1,22,"right","f","a","Asymmetry","Matching","self-related","Self","Self",556.4044,0.5564044,1
"247",1,22,"right","f","a","Asymmetry","Matching","self-related","Self","Self",511.2644,0.5112644,1
"248",1,22,"right","f","l","Asymmetry","Nonmatching","self-related","Self","Self",701.752,0.701752,1
"249",1,22,"right","f","a","Asymmetry","Matching","stranger-related","Stranger","Stranger",909.1232,0.9091232,1
"250",1,22,"right","f","a","Asymmetry","Matching","stranger-related","Stranger","Stranger",486.615,0.486615,1
"251",1,22,"right","f","a","Asymmetry","Matching","stranger-related","Stranger","Stranger",461.477,0.461477,1
"252",1,22,"right","f","a","Asymmetry","Matching","self-related","Self","Self",882.2847,0.8822847,1
"253",1,22,"right","f","a","Asymmetry","Matching","stranger-related","Stranger","Stranger",518.7137,0.5187137,1
"254",1,22,"right","f","a","Asymmetry","Matching","self-related","Self","Self",529.3095,0.5293095,1
"255",1,22,"right","f","l","Asymmetry","Nonmatching","stranger-related","Stranger","Stranger",707.6255,0.7076255,1
"256",1,22,"right","f","l","Asymmetry","Nonmatching","stranger-related","Stranger","Stranger",934.5858,0.9345858,1
"257",1,22,"right","f","a","Asymmetry","Matching","stranger-related","Stranger","Stranger",643.7435,0.6437435,1
"258",1,22,"right","f","l","Asymmetry","Nonmatching","self-related","Self","Self",1016.4601,1.0164601,1
"259",1,22,"right","f","l","Asymmetry","Nonmatching","stranger-related","Stranger","Stranger",848.6616,0.8486616,1
"260",1,22,"right","f","l","Asymmetry","Nonmatching","self-related","Self","Self",808.4989,0.8084989,1
"261",1,22,"right","f","l","Asymmetry","Matching","stranger-related","Stranger","Stranger",861.8303,0.8618303,0
"262",1,22,"right","f","a","Asymmetry","Matching","self-related","Self","Self",741.5309,0.7415309,1
"263",1,22,"right","f","l","Asymmetry","Nonmatching","self-related","Self","Self",802.8266,0.8028266,1
"264",1,22,"right","f","l","Asymmetry","Nonmatching","stranger-related","Stranger","Stranger",800.6573,0.8006573,1
