Subject,Cohens_d_RT,deta_RT,Cohens_d_ACC,deta_ACC,Condition
20,NA,NA,NA,NA,Self-Acquaintance
21,NA,NA,NA,NA,Self-Acquaintance
22,NA,NA,NA,NA,Self-Acquaintance
23,NA,NA,NA,NA,Self-Acquaintance
24,NA,NA,NA,NA,Self-Acquaintance
25,NA,NA,NA,NA,Self-Acquaintance
26,NA,NA,NA,NA,Self-Acquaintance
1,-0.187383926,-22.08333333,0.181504615,0.0625,Self-Acquaintance
2,-0.146675325,-93.5,0,0,Self-Acquaintance
3,-0.203422998,-35.02083333,0.207461546,0.041666667,Self-Acquaintance
4,-0.784365567,-322.2083333,0.092881748,0.020833333,Self-Acquaintance
5,-0.113425322,-123.8333333,-0.117024095,-0.041666667,Self-Acquaintance
6,-0.399694744,-343.2916667,0.297603493,0.125,Self-Acquaintance
7,-0.3353377,-59.85416667,0.207461546,0.041666667,Self-Acquaintance
8,0.075761778,18.79166667,-0.272565325,-0.104166667,Self-Acquaintance
9,-0.116972278,-33,-0.204124145,-0.020833333,Self-Acquaintance
10,-0.170516597,-30.27083333,0.124916971,0.041666667,Self-Acquaintance
11,0.159101307,45.39583333,0.092881748,0.041666667,Self-Acquaintance
12,-0.535999624,-125.9583333,0,0,Self-Acquaintance
13,-0.727817119,-94.91666667,0.291796038,0.041666667,Self-Acquaintance
14,0.051437308,63.60416667,-0.064756724,-0.020833333,Self-Acquaintance
15,-0.275630146,-127.1041667,0.181504615,0.0625,Self-Acquaintance
16,-0.441649706,-232.4375,0.207461546,0.041666667,Self-Acquaintance
17,0.137690451,80.625,-0.436038358,-0.208333333,Self-Acquaintance
18,-0.249948353,-65.875,-0.625832779,-0.166666667,Self-Acquaintance
19,-0.490222112,-177.8541667,0.092881748,0.020833333,Self-Acquaintance
20,-0.233071085,-95.85416667,0.291796038,0.041666667,Self-Acquaintance
21,-0.158298745,-31.125,-0.291796038,-0.041666667,Self-Acquaintance
22,0.185645662,84.47916667,0.207689902,0.104166667,Self-Acquaintance
23,-0.236744284,-74.3125,0.286849984,0.104166667,Self-Acquaintance
24,0.235949775,82.625,0.060276625,0.020833333,Self-Acquaintance
25,-0.295596682,-181.9791667,0.239604723,0.0625,Self-Acquaintance
26,0.227274985,99.70833333,0.092881748,0.020833333,Self-Acquaintance
27,0.248451779,43.875,0.170964487,0.041666667,Self-Acquaintance
28,-0.255705748,-26.70833333,0.070770934,0.020833333,Self-Acquaintance
29,-0.141475551,-71.02083333,-0.230810497,-0.104166667,Self-Acquaintance
30,-0.23188672,-42.16666667,0.170964487,0.041666667,Self-Acquaintance
