"Subject","Age","Gender","Handedness","Block","Trial","Shape","Label","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
48742438,21,"Mujer","Diestro",5,210,"circulo","tu","Matching","Self","Self","Self","Self",5,496,0.496,1
48742438,21,"Mujer","Diestro",5,211,"circulo","tu","Matching","Self","Self","Self","Self",5,290,0.29,1
48742438,21,"Mujer","Diestro",5,212,"circulo","tu","Matching","Self","Self","Self","Self",5,218,0.218,1
48742438,21,"Mujer","Diestro",5,213,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,589,0.589,1
48742438,21,"Mujer","Diestro",5,214,"triangulo","extrano","Nonmatching","Stranger","Friend","Friend","Close",1,490,0.49,1
48742438,21,"Mujer","Diestro",5,215,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,353,0.353,1
48742438,21,"Mujer","Diestro",5,216,"circulo","amigo","Nonmatching","Friend","Self","Self","Self",1,442,0.442,1
48742438,21,"Mujer","Diestro",5,217,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,937,0.937,1
48742438,21,"Mujer","Diestro",5,218,"triangulo","tu","Nonmatching","Self","Friend","Friend","Close",1,478,0.478,1
48742438,21,"Mujer","Diestro",5,219,"circulo","extrano","Nonmatching","Stranger","Self","Self","Self",1,540,0.54,1
48742438,21,"Mujer","Diestro",5,220,"cuadrado","amigo","Nonmatching","Friend","Stranger","Stranger","Stranger",1,706,0.706,1
48742438,21,"Mujer","Diestro",5,221,"circulo","amigo","Nonmatching","Friend","Self","Self","Self",1,617,0.617,1
48742438,21,"Mujer","Diestro",5,222,"cuadrado","tu","Nonmatching","Self","Stranger","Stranger","Stranger",1,434,0.434,1
48742438,21,"Mujer","Diestro",5,223,"cuadrado","tu","Nonmatching","Self","Stranger","Stranger","Stranger",1,421,0.421,1
48742438,21,"Mujer","Diestro",5,224,"circulo","tu","Matching","Self","Self","Self","Self",5,371,0.371,1
48742438,21,"Mujer","Diestro",5,225,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,759,0.759,1
48742438,21,"Mujer","Diestro",5,226,"triangulo","tu","Nonmatching","Self","Friend","Friend","Close",1,414,0.414,1
48742438,21,"Mujer","Diestro",5,227,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,455,0.455,1
48742438,21,"Mujer","Diestro",5,228,"circulo","extrano","Nonmatching","Stranger","Self","Self","Self",5,750,0.75,0
48742438,21,"Mujer","Diestro",5,229,"triangulo","extrano","Nonmatching","Stranger","Friend","Friend","Close",1,604,0.604,1
48742438,21,"Mujer","Diestro",5,230,"triangulo","amigo","Matching","Friend","Friend","Friend","Close",5,456,0.456,1
48742438,21,"Mujer","Diestro",5,231,"triangulo","extrano","Nonmatching","Stranger","Friend","Friend","Close",1,435,0.435,1
48742438,21,"Mujer","Diestro",5,232,"cuadrado","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,579,0.579,1
48742438,21,"Mujer","Diestro",5,233,"cuadrado","amigo","Nonmatching","Friend","Stranger","Stranger","Stranger",1,505,0.505,1
48742438,21,"Mujer","Diestro",5,234,"triangulo","tu","Nonmatching","Self","Friend","Friend","Close",1,715,0.715,1
48742438,21,"Mujer","Diestro",5,235,"cuadrado","tu","Nonmatching","Self","Stranger","Stranger","Stranger",1,522,0.522,1
