"","Subject","Shape","Label","Matching","Identity","ShapeLoc","RT_ms","RT_sec","ACC","Phase"
"295",1,"P1","Stranger","Nonmatching","Self","2",900,0.9,1,1
"296",1,"P1","Stranger","Nonmatching","Self","2",933,0.933,1,1
"297",1,"P1","Stranger","Nonmatching","Self","2",1000,1,1,2
"298",1,"P1","P2","Nonmatching","Self","2",850,0.85,1,2
"299",1,"P1","Stranger","Nonmatching","Self","2",1100,1.1,1,2
"300",1,"P1","P2","Nonmatching","Self","2",983,0.983,1,2
"301",1,"P1","Stranger","Nonmatching","Self","2",733,0.733,1,2
"302",1,"P1","P2","Nonmatching","Self","2",800,0.8,1,2
"303",1,"P1","P2","Nonmatching","Self","2",883,0.883,1,2
"304",1,"P1","P2","Nonmatching","Self","2",884,0.884,1,2
"305",1,"P1","Stranger","Nonmatching","Self","2",917,0.917,1,2
"306",1,"P1","P2","Nonmatching","Self","2",1167,1.167,1,2
"307",1,"P1","Stranger","Nonmatching","Self","2",917,0.917,1,2
"308",1,"P1","Stranger","Nonmatching","Self","2",934,0.934,1,2
"309",1,"P1","P2","Nonmatching","Self","2",550,0.55,0,2
"310",1,"P1","Stranger","Nonmatching","Self","2",967,0.967,1,2
"311",1,"P1","P2","Nonmatching","Self","2",650,0.65,1,2
"312",1,"P1","Stranger","Nonmatching","Self","2",784,0.784,1,2
"313",1,"P1","P2","Nonmatching","Self","2",800,0.8,1,2
"314",1,"P1","P2","Nonmatching","Self","2",833,0.833,1,2
"315",1,"P1","Stranger","Nonmatching","Self","2",1034,1.034,1,2
"316",1,"P2","Stranger","Nonmatching","Partner","1",800,0.8,0,1
"317",1,"P2","Stranger","Nonmatching","Partner","1",600,0.6,0,1
"318",1,"P2","Stranger","Nonmatching","Partner","1",767,0.767,1,1
"319",1,"P2","Stranger","Nonmatching","Partner","1",783,0.783,1,1
"320",1,"P2","P1","Nonmatching","Partner","1",1350,1.35,1,1
"321",1,"P2","P1","Nonmatching","Partner","1",917,0.917,1,1
"322",1,"P2","Stranger","Nonmatching","Partner","1",834,0.834,1,1
"323",1,"P2","P1","Nonmatching","Partner","1",900,0.9,1,1
"324",1,"P2","Stranger","Nonmatching","Partner","1",784,0.784,1,1
"325",1,"P2","Stranger","Nonmatching","Partner","1",850,0.85,1,1
"326",1,"P2","P1","Nonmatching","Partner","1",733,0.733,1,1
"327",1,"P2","P1","Nonmatching","Partner","1",800,0.8,1,1
"328",1,"P2","P1","Nonmatching","Partner","1",817,0.817,1,1
"329",1,"P2","Stranger","Nonmatching","Partner","1",1100,1.1,1,1
"330",1,"P2","Stranger","Nonmatching","Partner","1",967,0.967,1,1
"331",1,"P2","Stranger","Nonmatching","Partner","1",1034,1.034,1,1
"332",1,"P2","P1","Nonmatching","Partner","1",1133,1.133,1,1
"333",1,"P2","P1","Nonmatching","Partner","1",750,0.75,1,1
"334",1,"P2","Stranger","Nonmatching","Partner","1",917,0.917,1,2
"335",1,"P2","P1","Nonmatching","Partner","1",850,0.85,0,2
