"","Subject","Gender","Age","Handedness","First_Lanugage","Block","Trial","Shape","Label","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
"109",9605,"female",25,"right","Hebrew",1,109,"triangle.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",5570,5.57,1
"110",9605,"female",25,"right","Hebrew",1,110,"circle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",1942,1.942,1
"111",9605,"female",25,"right","Hebrew",1,111,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",3492,3.492,1
"112",9605,"female",25,"right","Hebrew",1,112,"circle.bmp","Father","Nonmatching","Father","Self","Self","Self","m",3043,3.043,1
"113",9605,"female",25,"right","Hebrew",1,113,"circle.bmp","Father","Nonmatching","Father","Self","Self","Self","m",2211,2.211,1
"114",9605,"female",25,"right","Hebrew",1,114,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",6038,6.038,1
"115",9605,"female",25,"right","Hebrew",1,115,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",6232,6.232,1
"116",9605,"female",25,"right","Hebrew",1,116,"circle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",3121,3.121,1
"117",9605,"female",25,"right","Hebrew",1,117,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",4376,4.376,1
"118",9605,"female",25,"right","Hebrew",1,118,"triangle.bmp","Father","Nonmatching","Father","Stranger","Stranger","Stranger","m",6324,6.324,1
"119",9605,"female",25,"right","Hebrew",1,119,"triangle.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",2849,2.849,1
"120",9605,"female",25,"right","Hebrew",1,120,"circle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",8547,8.547,1
"121",9605,"female",25,"right","Hebrew",2,121,"circle.bmp","Self","Matching","Self","Self","Self","Self","z",2145,2.145,1
"122",9605,"female",25,"right","Hebrew",2,122,"square.bmp","Stranger","Nonmatching","Stranger","Father","Father","Close","m",2302,2.302,1
"123",9605,"female",25,"right","Hebrew",2,123,"circle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",1981,1.981,1
"124",9605,"female",25,"right","Hebrew",2,124,"square.bmp","Father","Matching","Father","Father","Father","Close","z",2337,2.337,1
