"","Subject","Gender","Age","Handedness","First_Lanugage","Shape","Word","Matching","Identity","Response","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","Luminance","TextColor","Color","VisualAngle","Contrast"
"7406",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",2071,2.071,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7407",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",764,0.764,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7408",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",1025,1.025,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7409",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",1031,1.031,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7410",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",1191,1.191,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7411",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",2693,2.693,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7412",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",928,0.928,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7413",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",1566,1.566,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7414",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",804,0.804,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7415",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",1453,1.453,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7416",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",787,0.787,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7417",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",953,0.953,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7418",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",685,0.685,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7419",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",870,0.87,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7420",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",965,0.965,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7421",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",818,0.818,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7422",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",948,0.948,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7423",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",1110,1.11,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7424",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",949,0.949,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7425",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",994,0.994,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7426",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",948,0.948,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7427",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",1297,1.297,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7428",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",818,0.818,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7429",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",977,0.977,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7430",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",1224,1.224,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7431",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",862,0.862,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7432",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",1700,1.7,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7433",8507,"female",20,"right","Hebrew","circle.bmp","Friend","Nonmatching","Self","z",1120,1.12,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7434",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",780,0.78,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7435",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",959,0.959,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7436",8507,"female",20,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Self","z",1115,1.115,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7437",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","",NA,NA,NA,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7438",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","",NA,NA,NA,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7439",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",5614,5.614,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7440",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",3594,3.594,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7441",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",3207,3.207,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7442",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",2733,2.733,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7443",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",3992,3.992,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7444",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",2254,2.254,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7445",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",1367,1.367,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7446",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",1304,1.304,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7447",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",1232,1.232,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7448",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",1120,1.12,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7449",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",889,0.889,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7450",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",961,0.961,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7451",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",1128,1.128,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7452",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",1066,1.066,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7453",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",751,0.751,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7454",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",777,0.777,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7455",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",931,0.931,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7456",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",1171,1.171,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7457",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",1245,1.245,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7458",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",806,0.806,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7459",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",1023,1.023,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7460",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","m",688,0.688,0,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7461",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",1445,1.445,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7462",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",815,0.815,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7463",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",1306,1.306,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7464",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",992,0.992,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7465",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",1025,1.025,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7466",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",1488,1.488,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7467",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",1007,1.007,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7468",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",1213,1.213,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7469",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",1074,1.074,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7470",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",1199,1.199,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7471",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",831,0.831,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7472",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",1001,1.001,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7473",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",998,0.998,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7474",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",1011,1.011,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7475",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",811,0.811,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7476",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",924,0.924,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7477",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",928,0.928,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7478",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",960,0.96,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7479",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",1301,1.301,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7480",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",1017,1.017,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7481",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",1196,1.196,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7482",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",743,0.743,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7483",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",898,0.898,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7484",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",703,0.703,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7485",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",690,0.69,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7486",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",1035,1.035,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7487",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",962,0.962,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7488",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",995,0.995,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7489",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",1282,1.282,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7490",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",959,0.959,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7491",8507,"female",20,"right","Hebrew","square.bmp","Self","Nonmatching","Friend","z",809,0.809,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
"7492",8507,"female",20,"right","Hebrew","square.bmp","Stranger","Nonmatching","Friend","z",957,0.957,1,"1920*1080","60Hz",NA,NA,NA,"60cm",NA
