"","Subject","Age","Gender","Handedness","Shape","Label","Matching","Shape1","Shape2","Identity1","Identity2","Response","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","Luminance","TextColor","BackgroundColor","VisualAngle","Contrast"
"136",2,NA,"","","Kreis.png","Ich","Matching","Kreis.png","Dreieck.png","Fremder","Ich","d",1162,1.162,1,"15.6-in",NA,NA,"white","black","50cm",NA
"137",2,NA,"","","Kreis.png","Ich","Matching","Kreis.png","Dreieck.png","Fremder","Ich","d",1011,1.011,1,"15.6-in",NA,NA,"white","black","50cm",NA
"138",2,NA,"","","Dreieck.png","Fremder","Matching","Kreis.png","Dreieck.png","Fremder","Ich","k",926,0.926,0,"15.6-in",NA,NA,"white","black","50cm",NA
"139",2,NA,"","","Dreieck.png","Fremder","Matching","Kreis.png","Dreieck.png","Fremder","Ich","d",915,0.915,1,"15.6-in",NA,NA,"white","black","50cm",NA
"140",2,NA,"","","Kreis.png","Ich","Matching","Kreis.png","Dreieck.png","Fremder","Ich","d",898,0.898,1,"15.6-in",NA,NA,"white","black","50cm",NA
"141",2,NA,"","","Dreieck.png","Fremder","Matching","Kreis.png","Dreieck.png","Fremder","Ich","d",881,0.881,1,"15.6-in",NA,NA,"white","black","50cm",NA
"142",2,NA,"","","Kreis.png","Ich","Matching","Kreis.png","Dreieck.png","Fremder","Ich","d",774,0.774,1,"15.6-in",NA,NA,"white","black","50cm",NA
"143",2,NA,"","","Kreis.png","Ich","Matching","Kreis.png","Dreieck.png","Fremder","Ich","d",665,0.665,1,"15.6-in",NA,NA,"white","black","50cm",NA
"144",2,NA,"","","Dreieck.png","Fremder","Matching","Kreis.png","Dreieck.png","Fremder","Ich","d",789,0.789,1,"15.6-in",NA,NA,"white","black","50cm",NA
"145",2,NA,"","","Kreis.png","Ich","Matching","Kreis.png","Dreieck.png","Fremder","Ich","d",652,0.652,1,"15.6-in",NA,NA,"white","black","50cm",NA
"146",2,NA,"","","Dreieck.png","Fremder","Matching","Kreis.png","Dreieck.png","Fremder","Ich","d",1076,1.076,1,"15.6-in",NA,NA,"white","black","50cm",NA
"147",2,NA,"","","Dreieck.png","Fremder","Matching","Kreis.png","Dreieck.png","Fremder","Ich","k",1010,1.01,0,"15.6-in",NA,NA,"white","black","50cm",NA
"148",2,NA,"","","Kreis.png","Ich","Matching","Kreis.png","Dreieck.png","Fremder","Ich","d",654,0.654,1,"15.6-in",NA,NA,"white","black","50cm",NA
"149",2,NA,"","","Dreieck.png","Fremder","Matching","Kreis.png","Dreieck.png","Fremder","Ich","k",763,0.763,0,"15.6-in",NA,NA,"white","black","50cm",NA
"150",2,NA,"","","Kreis.png","Ich","Matching","Kreis.png","Dreieck.png","Fremder","Ich","d",605,0.605,1,"15.6-in",NA,NA,"white","black","50cm",NA
"151",2,NA,"","","Kreis.png","Ich","Matching","Kreis.png","Dreieck.png","Fremder","Ich","d",983,0.983,1,"15.6-in",NA,NA,"white","black","50cm",NA
"152",2,NA,"","","Dreieck.png","Fremder","Matching","Kreis.png","Dreieck.png","Fremder","Ich","k",716,0.716,0,"15.6-in",NA,NA,"white","black","50cm",NA
"153",2,NA,"","","Dreieck.png","Fremder","Matching","Kreis.png","Dreieck.png","Fremder","Ich","k",915,0.915,0,"15.6-in",NA,NA,"white","black","50cm",NA
