"","Subject","Age","Gender","Handedness","Shape","Label","Origin_Identity","English_Identity","Standardized_Idnetity","Matching","Response","RT_ms","RT_sec","ACC"
"209",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",862,0.862,1
"210",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",618,0.618,1
"211",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",803,0.803,1
"212",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",720,0.72,1
"213",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","k",552,0.552,0
"214",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",622,0.622,1
"215",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",455,0.455,1
"216",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",880,0.88,1
"217",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",765,0.765,1
"218",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",551,0.551,1
"219",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","k",676,0.676,0
"220",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",794,0.794,1
"221",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",804,0.804,1
"222",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",578,0.578,1
"223",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",826,0.826,1
"224",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",887,0.887,1
"225",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",626,0.626,1
"226",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",630,0.63,1
"227",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",636,0.636,1
"228",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1088,1.088,1
"229",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",943,0.943,1
"230",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",990,0.99,1
"231",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",751,0.751,1
"232",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",469,0.469,1
"233",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",701,0.701,1
"234",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",529,0.529,1
"235",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",809,0.809,1
"236",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",637,0.637,1
"237",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",660,0.66,1
"238",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",551,0.551,1
"239",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",1150,1.15,1
"240",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",714,0.714,1
"241",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",657,0.657,1
"242",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","k",532,0.532,0
"243",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",491,0.491,1
"244",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","k",1054,1.054,0
"245",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",900,0.9,1
"246",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",577,0.577,1
"247",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",570,0.57,1
"248",1,22,"female","right","Kreis.png","Ich","Ich","Self","Self","Matching","d",602,0.602,1
"249",1,22,"female","right","Dreieck.png","Fremder","Fremder","Stranger","Stranger","Matching","d",716,0.716,1
