Subject,SessionDate,Age,Sex,Handedness,MotherTongue,Procedure[SubTrial],LabelOrder,PressAssos.RT,BlockType,CloseShape,CloseWord,MediumShape,MediumWord,FarShape,FarWord,Stimulus,Congruent,Incongruent,Target.ACC,Target.CRESP,Target.RESP,Target.RT
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,m,m,741
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,m,m,867
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,m,m,996
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,z,z,696
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,z,z,1176
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,m,m,660
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,m,m,1045
9503,08-08-2017,29,male,right,Hebrew,FBbreak1,SUF,,,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,,m,z,,,,
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,z,z,2120
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,m,m,839
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,m,m,921
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,z,z,1975
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,z,z,1787
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,m,m,967
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,z,z,1092
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,m,m,675
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,m,m,980
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,z,z,1016
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,m,m,899
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,m,m,642
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,m,m,612
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,m,m,759
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,m,m,597
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,m,m,760
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,z,z,693
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,z,z,1061
