"","Subject","Block","Trial","Shape","Label","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
"153",2,3,33,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",790,0.79,1
"154",2,3,34,"C.bmp","Ikzelf","Nonmatching","Friend","Friend","Close","n",993,0.993,1
"155",2,3,35,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",795,0.795,1
"156",2,3,36,"S.bmp","Vreemde","Nonmatching","Self","Self","Self","n",708,0.708,1
"157",2,3,37,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",878,0.878,1
"158",2,3,38,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",744,0.744,1
"159",2,3,39,"S.bmp","Vreemde","Nonmatching","Self","Self","Self","n",882,0.882,1
"160",2,3,40,"T.bmp","Ikzelf","Nonmatching","Stranger","Stranger","Stranger","n",812,0.812,1
"161",2,3,41,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",598,0.598,1
"162",2,3,42,"C.bmp","Vreemde","Nonmatching","Friend","Friend","Close","n",769,0.769,1
"163",2,3,43,"C.bmp","Bekende","Matching","Friend","Friend","Close","m",699,0.699,1
"164",2,3,44,"C.bmp","Ikzelf","Nonmatching","Friend","Friend","Close","n",725,0.725,1
"165",2,3,45,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",719,0.719,1
"166",2,3,46,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","n",761,0.761,0
"167",2,3,47,"S.bmp","Bekende","Nonmatching","Self","Self","Self","n",914,0.914,1
"168",2,3,48,"T.bmp","Bekende","Nonmatching","Stranger","Stranger","Stranger","n",780,0.78,1
"169",2,3,49,"T.bmp","Ikzelf","Nonmatching","Stranger","Stranger","Stranger","n",790,0.79,1
"170",2,3,50,"C.bmp","Ikzelf","Nonmatching","Friend","Friend","Close","n",833,0.833,1
"171",2,3,51,"S.bmp","Ikzelf","Matching","Self","Self","Self","m",731,0.731,1
"172",2,3,52,"C.bmp","Vreemde","Nonmatching","Friend","Friend","Close","m",693,0.693,0
"173",2,3,53,"T.bmp","Vreemde","Matching","Stranger","Stranger","Stranger","m",607,0.607,1
"174",2,3,54,"T.bmp","Bekende","Nonmatching","Stranger","Stranger","Stranger","n",937,0.937,1
