"","Subject","Gender","Shape","Label1","Label2","Label3","Identity","Matching","Response","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","Luminance","TextColor","BackgroundColor","VisualAngle","Contrast"
"90",1002,2,"Masha","You","none","Masha","Friend","Matching","m",502,0.502,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"91",1002,2,"Masha","You","none","Masha","Friend","Matching","m",556,0.556,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"92",1002,2,"Masha","You","none","Masha","Friend","Matching","m",541,0.541,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"93",1002,2,"Masha","You","none","Masha","Friend","Matching","m",483,0.483,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"94",1002,2,"Masha","You","none","Masha","Friend","Matching","m",583,0.583,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"95",1002,2,"Masha","You","none","Masha","Friend","Matching","m",525,0.525,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"96",1002,2,"Masha","You","none","Masha","Friend","Matching","m",494,0.494,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"97",1002,2,"Masha","You","none","Masha","Friend","Matching","m",546,0.546,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"98",1002,2,"Masha","You","none","Masha","Friend","Matching","m",624,0.624,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"99",1002,2,"Masha","You","none","Masha","Friend","Matching","m",558,0.558,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"100",1002,2,"Masha","You","none","Masha","Friend","Matching","m",695,0.695,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"101",1002,2,"Masha","You","none","Masha","Friend","Matching","m",617,0.617,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"102",1002,2,"Masha","You","none","Masha","Friend","Matching","m",510,0.51,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"103",1002,2,"Masha","You","none","Masha","Friend","Matching","m",627,0.627,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"104",1002,2,"Masha","You","none","Masha","Friend","Matching","m",606,0.606,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"105",1002,2,"Masha","You","none","Masha","Friend","Matching","m",795,0.795,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"106",1002,2,"Masha","You","none","Masha","Friend","Matching","m",647,0.647,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"107",1002,2,"Masha","You","none","Masha","Friend","Matching","m",725,0.725,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"108",1002,2,"Masha","You","none","Masha","Friend","Matching","m",578,0.578,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"109",1002,2,"Masha","You","none","Masha","Friend","Matching","m",610,0.61,1,"21.5-inch",NA,NA,"white","grey",NA,NA
