"","Subject","Age_Participant1","Age_Participant2","StrangerShape","P1Shape","P2Shape","Shape","Matching","Identity","ShapeLoc","Response","RT_ms","RT_sec","ACC","Phase"
"205",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Top","w",716.823522,0.716823522,1,2
"206",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Top","w",733.765047,0.733765047,1,2
"207",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Top","w",900.155428,0.900155428,1,2
"208",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Top","w",633.451072,0.633451072,1,2
"209",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Top","w",650.147828,0.650147828,1,2
"210",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Top","w",550.142183,0.550142183,1,2
"211",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Top","w",950.1545,0.9501545,1,2
"212",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Top","w",600.185076,0.600185076,1,2
"213",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Top","w",866.808106,0.866808106,1,2
"214",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Top","w",883.469726,0.883469726,1,2
"215",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Top","w",700.148085,0.700148085,1,2
"216",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Top","w",883.697124,0.883697124,1,2
"217",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Top","w",767.148689,0.767148689,1,2
"218",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Top","w",1333.444795,1.333444795,1,2
"219",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Top","w",650.202309,0.650202309,1,2
"220",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Top","w",700.20296,0.70020296,1,2
