"X","Subject","Matching","Identity","RT_ms","RT_sec","ACC"
570,9612,"Nonmatching","Stranger",841,0.841,1
571,9612,"Nonmatching","Stranger",677,0.677,1
572,9612,"Nonmatching","Stranger",709,0.709,1
573,9612,"Nonmatching","Stranger",821,0.821,1
574,9612,"Nonmatching","Stranger",977,0.977,1
575,9612,"Nonmatching","Stranger",1241,1.241,1
576,9612,"Nonmatching","Stranger",664,0.664,1
577,9612,"Nonmatching","Stranger",820,0.82,1
578,9612,"Nonmatching","Stranger",903,0.903,1
579,9612,"Nonmatching","Stranger",739,0.739,1
580,9612,"Nonmatching","Stranger",978,0.978,1
581,9612,"Nonmatching","Stranger",759,0.759,1
582,9612,"Nonmatching","Stranger",683,0.683,1
583,9612,"Nonmatching","Stranger",771,0.771,1
584,9612,"Nonmatching","Stranger",721,0.721,1
585,9612,"Nonmatching","Stranger",1271,1.271,1
586,9612,"Nonmatching","Stranger",677,0.677,1
587,9612,"Nonmatching","Stranger",998,0.998,1
588,9612,"Nonmatching","Stranger",945,0.945,1
589,9612,"Nonmatching","Stranger",615,0.615,1
590,9612,"Nonmatching","Stranger",835,0.835,1
591,9612,"Nonmatching","Stranger",595,0.595,1
592,9612,"Nonmatching","Stranger",759,0.759,1
