"Subject","Shape","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Group","RT_ms","RT_sec","ACC"
2,"Self","Matching","Self","Self","Self","Self","2",496,0.496,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",620,0.62,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",564,0.564,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",472,0.472,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",446,0.446,0
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",575,0.575,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",0,0,0
2,"Self","Matching","Self","Self","Self","Self","2",471,0.471,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",417,0.417,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",529,0.529,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",656,0.656,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",483,0.483,1
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",534,0.534,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",428,0.428,1
2,"Self","Matching","Self","Self","Self","Self","2",575,0.575,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",558,0.558,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",452,0.452,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",565,0.565,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",538,0.538,0
2,"Friend","Matching","Friend","Friend","Friend","Close","2",610,0.61,1
2,"Self","Matching","Self","Self","Self","Self","2",391,0.391,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",438,0.438,1
2,"Self","Matching","Self","Self","Self","Self","2",423,0.423,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",533,0.533,1
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",620,0.62,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",762,0.762,1
